,Position,Description
87,88. Belt,"When you know what your partner likes, you feel him from the floor of the words, you can show every birthmark on his body with your eyes closed – it costs a lot, do not waste your good relations. The woman lies on her side, she lifts her head on her elbow with legs slightly bent at the knees and spreads them apart. The male partner is attached between her legs, he holds his body on the bent elbow, his other hand is on hip of his chosen one, his legs are slightly bent and spread apart. This position does not require any extra movement, just listen to your feelings, and enjoy them."
88,89. Dejavu,"Every time love your partner as if for the first time, give yourself completely, shows yourself not hiding your emotions, as if this might be the last time, then each sex will be unique. The man sits down, legs are straight and driven apart, arms are straight, too, placed to the sides and laid back a little. The woman sits facing the male partner between his legs, completely bending her legs in knees and putting them on the man’s thighs. Her arms are straight, stand near the knees of the male partner from the outside the support is made on them, eye to eye contact gives the flavor to the position."
89,90. Bench,"Comfortable sex in comfortable conditions, you can go on watching your favorite TV-program, though you will hardly remember what you’ve seen. The man stations himself comfortably on the bad, armchair, it can be a wide balcony or any other surface where he will sit, hang down and open his legs, lean back and lean on his hands open on sides. The woman sits on the partner up like on a bench. Her legs are forced together and holds with her hands her partner’s thighs and lifting her buttocks she leads them both to the peak of joy. The position is fantastic, especially, if the man is whiling to watch football match."
90,91. Iris,"This is the position, in which it is possible to combine the sensual and irrestrainable sex, speeding up, saying vulgarities, caressing each other and kissing passionately. The woman lies on her back and her pelvis and straight feet are slightly turned on the side. The man is on his knees in front of his female partner’s buttocks, one leg is slightly put forward, and the second one is put backwards to his darling’s feet. The male partner’s arms are straight, palms are on the surface near the woman’s shoulder and close to her breast, with support on them. The woman embraces the man’s neck with one arm, and with the second one she takes his hand a little above the elbow."
91,92. Screwdriver,"Learn to control sex not by your mind, but by desires. Only you can make it unforgettable, or just an ordinary, do not rush to bring the process to the logical end. The woman gets on all fours, her legs are driven apart and feet are together, arms are extended forward, bent in elbows, breasts touch the floor, chin is raised. The man is located behind his female partner, stands on one knee between her legs, the second man’s leg is thrown over the buttocks of his darling and is on the floor. The man keeps one hand on his female partner buttocks, the other one is on her back."
92,93. Diamond,"When partners are having sex, they are absolutely equal, in these moments the social status is not important, because if they are in each other’s arms, they feel good together, and this is all. The partner sits down and drives the straight legs wide apart. The woman lies on her back between his legs, she throws her legs on the male partner’s shoulders and bends them in knees with her hands she is caressing her breast. The man leans forward, arms are bent in elbows and he puts them along the lady’s body, if desired, he can also caress her breasts with his palms or hold her waist."
93,94. Narcissus,"Try to have sex in front of a mirror surface, to be able to see yourself and your mistress; it will be wonderful with no doubt. The man stands and bends slightly his knees. The woman stands next to him, with her back to the male partner, she leans forward, leaning on her left hand, bent leg, and the man hugs her waist with one hand. The male partner lifts her right leg and puts it behind her back, holding it there, and the woman puts her right hand on the left shoulder of the man. This position is probably invented in order to see how you make sex, and to get excited a hundred times more."
94,95. Flatiron,"This position is a breath of fresh air to the stagnant sex life of both partners. It seems that there is nothing special, but the couple is guaranteed with new impressions. The woman lies comfortably on her belly, she bends slightly her knees and opens them on sides, she pulls her hands along the body and if desired she can slightly raise the hips to be able to caress her crotch. The man is located between the legs of his female partner, stands on his knees and leans forward; his one arm is close to the hips of his mistress, the second one is on her buttock. The male partner can set the tempo himself as well as push his mistress by whisk of his arm."
95,96. Seesaw,"Prove to your woman that you are ready to carry her not only on your arms, but also on the most piquant part of your body. A man takes his female partner in his arms to throw her legs on his arms bent in the elbows, and her crotch to be in close contact with his penis. The woman embraces the male partner’s neck with one hand, and with another hand she can caress his face, torso or her chest, why not. Faces of the partners should be at the same level, to kiss each other and work up stronger passion. However, how it can be stronger when he is already inside her desirous body."
96,97. Shining,"Love, kiss, make love, and taste each other, because if you’re liberated to each other, it will further strengthen your feelings and emotions. The woman lies on her side and her shoulder on a pillow, one hand is outstretched. Her legs are half bent and driven apart. The partner lies with his face in his lady’s crotch, he puts his hand on her hip and buttock, that is, so one female partner’s foot rests on him. The man slightly drives his legs apart, to make it easier for the woman to perform oral sex caressing of his penis with mouth and one free hand."
97,98. Snail,"This position is not very convenient for oral sex, but if you try, your female partner will have the ineffable joy by such caresses, so the game is definitely worth it. The woman lies on her back with her pelvis turned sideward, legs are bent in knees and driven slightly apart. The male partner sits at the lady’s feet sideward and leans forward, leaning on his elbow, which is near the woman’s knee, from the inner side. With the second hand he strokes her buttocks or caresses her crotch. One leg of the man is bent in knee, the second one is almost straight they are also driven apart."
98,99. Blade,"Oral sex is also to be various, so that the partners did not perceive it as a routine, and constantly looked for new ways and obtained high-quality impressions. The man lies on his side, raises his upper body up on one elbow, legs are driven apart and bend in knee, feet are placed crosswise. The woman lies on her side so that her head is in a ring of the man’s legs, her legs are straight, pressed together, the hand resting on the male partner’s thigh. The man also puts his other hand on his female partner’s hand on his thigh, he can stroke it, of course, get thrill."
99,100. Accordion,"In sex, game is not acceptable, it looks phony and tasteless, but to play along with your partner is possible and necessary, to whet his ardor and strengthen his desire. The man lies on his side, legs are together, knees are bent. The woman lies with her head next to his feet, puts her face on his feet, with her arms hugging the male partner’s knees, one foot she slips under his feet, the second one she puts on his legs and bend her knees so that her feet are on the male partner’s buttocks. With his hands the man takes his darling’s waist and in this kind of head to tail, they have sex."
100,101. Watering can,"This position allows dissolve in your male partner, inhale the scent of his body, feel his desire, savor the pleasure of sex and feel the delight by every cell. The man lies on his back slightly bending the legs and lifting them. The woman lies on the male partner facing his face, she sits on the penis, opens her legs on the sides of the man and bents at the knees, she embraces her hands around her male partner’s neck so that the bodies are tightly pressed against each other. The man can place his hands on the back of his mistress or on her buttocks. Nothing prevents the couple from kissing during sex."
101,102. Libido,"Even if your partner has different tastes in sex, and your wishes are a little different, this position will help satisfy both not only physically, but also emotionally. The man lies on his back, legs are straight, slightly driven apart. The woman sits on the partner, back to him, her legs are slightly bent in knees and driven apart so that the partners feet are close to each other. The lady holds her hands straight, drives them apart and is pressing on her hands, head and body are slightly pulled back. Man’s hands are caressing his female partner’s crotch during sex."
102,103. Flash,"From a single touch, sight or word fire can ignite that will be able to slow down only by a passionate dance of naked bodies. The woman lies on her back with one leg outstretched and the other kneeled. The man lies on his side next to his mistress, supporting his head by the arm bent at the elbow. His leg is under her bent leg and lies on the other. She, in turn, puts the bent leg at the male partner’s knee. In this position, the man’s face is near to the female partner’s breast and he can caress her not only with his free hand, but also with the mouth that will enhance the pleasure."
103,104. Praying Mantis,"If your body is plastic enough it will be a huge advantage in sex, you will be able to take easily any position, post and at the same time enjoy the process to surprise your partner. The woman stands on her knees, spreads her legs apart, completely leans forward with arms bent at the elbow she puts one of them under her belly, and supports on the second one. The male partner stands on one knee, the other leg is bent at the knee, too, he puts it on the back of his female partner. One arm of the man is straight, he puts it on palm and leans on it, the second hand is on the buttocks of his mistress."
104,105. Basket,"Emotions between two partners are being accumulated, things are heating up, nothing will interfere their copulation on kissing, they are having sex at the same time. The man sits, he opens easily his legs on sides, the woman is on her partner’s arms face to face and she embraces his neck with her arms. He holds her confidentially by her waist and in this way he help her move, strengthening her desire without stopping kissing her lips. It is a perfect position for those who like crazily kissing, as there is no need in refusing this wonderful thing."
105,106. Dolphin,"The man must feel in sex like a fish in water, throw away the constraints and show your male partner the secrets of passionate love, in any case, he is in an advantageous position. The man is standing, one leg is straight, the second one is slightly bent in knee and stands on tiptoes. The woman stands back to his male partner, puts her leg next to his bent leg, and the second one she throws on the male partner’s waist so that her foot was on his back. With one hand, she is pressing on his knee, with the other hand on the knee of the male partner. The man also puts his hand on the woman’s thigh and holds her."
106,107. Scorpio,"While having sex, do not get hung up on one and the same position, change them in the process and just fantasize, it will make your sexual life more intense, and the relationship strong and interesting. The woman ceases to her knees in front of a pillow and lies down on it with her body, legs are bent, driven wide apart. The male partner lies on top of her, then straightens his arms and makes support on his palms or fists, his legs are also straight, standing on tiptoes, so the male partner should hold his body completely over the lady and make movements."
107,108. Caliper,"For this position, not only a man, but a woman must be trimmed as the partner will have to hold his mistress in his arms, and she, in her turn, will have to make the pelvis movement in the weightless condition. The man is standing with his feet at shoulder width, arms are straight along the body, and the female partner is hugging her male partner’s neck with her arms and closes her fingers in a lock. The woman drives her legs apart and lifts them up, having pulled herself on the man, he grabs her with his hands on the feet, straightens his back and thus holds the female partner, the motions can be made both by the man and woman."
108,109. Golden Gate,"There is something mysterious and enticing in this position, it can not be called comfortable, especially for the woman, but maybe, if we take such position, the world will turn upside down, as well as feelings. The man lies on his back with legs slightly bend at the knees and spreads them apart. The woman stands with her back to the head of the male partner and cleverly takes the position of a bridge for her head to be between the man’s legs, her hands are close to his buttocks and legs are close to his shoulders. The man caresses his mistress with oral sex and uses at that his both hands, enhancing pleasure."
109,110. Tiramisu,"In order not to suffer from excess weight, learn to choose the proper breakfast in the morning. Look closely at this position, it can be a great way to start or end your day. The man lies on his back. The legs are bent in knees and driven apart. The female partner sits on top so that her crotch is over the face of the male partner, her legs are driven apart the body is leant forward, hands are placed on either side of the man’s buttocks and support is made on them. The male partner puts his hands on her waist, while the woman in this position is just enjoying."
110,111. Horizon,"Doing a blowjob to your regular partner can be represented in various positions. If your couple often repairs to oral sex, then take a note of such quite an interesting option. The man lies sideways lifting the upper part of his body on elbow and bents his legs opening them. The woman lies down next to him for her knees to be near her male partner’s shoulders, the legs to be bent and the face to be on the level of the genital area of the male partner. The female partner pulls her male partner’s buttocks with one arm and caresses his cock, in his turn the male partner can stimulate the crotch of his mistress with his arms. And then, why not have sex?!"
111,112. Joystick,"Usually, when we want something, but do not get it right away, the desire to possess such a subject increases significantly, play a touch-me-not, tease your female partner, it can not hurt. The woman lies on her side, her palm is under her head, the second one is on top of hair, arms are bent in elbows, legs are straight, but driven apart. The man is located to his female partner head to tail, one of her legs is under his hand, and the second one is between his legs, which are slightly bent in knees. With one hand the man holds his female partner’s waist and the other one he puts on her hip."
112,113. Cowgirl,"Surrender to the feelings, feel the rhythm, don’t try to control yourself as that’s unreal. The man lies down comfortably and the woman sits on him and takes the wheel. In cowgirl position woman is the one to write the rules, she sets the speed and tempo and the man just helps her by moving his hips to penetrate deeper and feel the pleasure with renewed vigor. It’s a very popular position, it can be explained by the complete freedom of arms and the possibility to caress each other. Use the case to show your female partner that her breast is the most sensitive zone."
113,114. Chair,"This delicate, light and incredibly intimate position is perfect for two romantic natures who like to experiment. The man sits on a flat surface with his legs outstretched in front of him, with his hands backwards placed apart as support. The woman is on his male partner with her back to him, leaning close to his body, the legs are compressed on top but slightly apart from the knees. She holds her male partner’s hips by arms, her head is thrown back a little, exactly the woman moves and the bodies of the couple merge."
114,115. Anvil,"Some sweet will never do a bad turn, especially when your seductive second half is in the role of a sweet, and thanks to this position you will be able to experience the full depth of your favorite taste. The woman lies on her back and pulls her legs to her breast, holding hips by hands. The man lies next to his female partner using his arms as support and are next to her shoulders. The male partner’s legs are slightly bent and moved apart, as if he is on his knees. The woman puts her legs on the man’s neck and wraps them over the male partner’s neck."
115,116. Reverse Cowboy,"When having sex do not skimp for emotions, act, say, scream out your desires and emotions, set all your wishes free, that is the only way to satisfy yourself completely. The woman stands on four limbs with feet driven on sides, the body is inclined with head down supporting on elbows. The male partner is attached to her backside, his legs are straight and spread wide apart, one hand on the palm supports in floor, the second one is on the man’s knee. For this position you will need to perform cleverly and have a penis of decent size."
116,117. Pretzel,"Often, the attraction force begins to act on the bodies, and attracts them to each other, if it happened, take this position and have sex with your partner. The woman lies on her side and raises herself on her elbow, legs are slightly bent at the knees and driven apart. The man ceases on his knees so that one female partner’s leg is lying between his legs, the second one he throws on his waist and puts his hand on his lady’s knee, fixing her leg in this position. The woman lays one hand on her breast and the second one on the male partner’s knee and enjoys."
117,118. Superman,"To make a gift to your partner, you should not wait for a holiday, remove the clothes and tie up a red bow on your naked body, and then suggest him to try this position, the man will appreciate it. The woman lies on a bed with the feet on the edge, bends them in knees and drives them widely apart. The male partner gets between her legs, slightly bends his knees, taking a comfortable position, takes his darling by the waist and lifts her upper body on him, while the woman remains in a horizontal position. She bends her legs and leans them on the man’s back, straight arms she puts on his knees and makes support on them."
118,119. Barberry,"You can not relax in this position, you will not be able to touch your male partner, but the greater will be the desire to possess him, the more sensual is his every touch, every thrust inside of you. The woman lies on a pillow, gets her hands back, legs are bent in knees completely, she spreads them wide apart and taken her feet in her hands, taking a position of a box, the head is raised too. The male partner kneels between her lady’s legs, leaning forward slightly, takes her buttocks with his hands or caresses her crotch and makes movements."
119,120. Aquarius,"Couples who do not fix on the same position are not afraid to experiment and feel relaxed during sex, the strongest and that is a reason to think a bit. The man is standing with feet shoulder width apart, his torso is very inclined forward. The woman gets on her hands and holds her body on her palms, she bents her at the knees and embraces the buttocks of her male partner, and crosses her feet. The man supports the waist of his lady with his hands helping her to be in this position, and with his lips he can caress her belly, as if showering her with kisses."
120,121. Pointer,"This position will be good for a couple with a well built and prepared physically man, with very strong hands. The male partner stands on his knees and takes his woman in his arms, turning her upside down. Her face is on the level of his penis and she grabs his waist with her arms, the man embraces the woman’s waist too, holding her in the air. Legs of the female partner are on the man’s shoulders, they are opened on sides and embrace his neck, and the man has full access to the crotch of his mistress. This position is not very good for a long process, but as something to warm-up it will suit perfectly."
121,122. Eraser,"Blurring the boundaries of what is permitted and the limits of decency, you can enjoy the feelings that your partner gives to you. The man is lying on the floor in the position, where his legs are opened and slightly bent in the knees, it will be very reasonable to put a small pillow between them. The woman lies with her head on the pillow, her arms are stretched along the male partner’s body and her legs are thrown on his shoulders. The female partner’s crotch should be at level with the face of her man for him to be able to caress not only her genital area, but also her breast and stroke her body. This position opens the woman to her male partner at a glance; if you have nothing to hide, then you should take it for note."
122,123. Mirage,"Many couples rarely do oral sex, thinking that it is monotonous and uninteresting. There are so many positions for oral satisfaction of the partners, and here is one of them. The man ceases on all fours, with support on his knees and hands. His arms are straight and placed at shoulder width. The woman lies down with her head between his legs on her back, with her hands she takes him by the buttocks, legs are bent in knees and driven apart. In this position the woman herself can move, as well as her male partner, making swaying motions with her pelvis."
123,124. Clip,"This position requires a very close physical contact of the partners and is suitable for those who either strongly missed each other or dotes to keep the partner in their arms. The woman lies on her side. Legs are straight, knees are slightly bent. The man lies on his side facing the female partner, one leg is straight, the second he throws over her legs near the buttocks. With his hands the male partner is hugging his lady in the breast area, in response she is embracing him, wrapping his neck with her arms. The position is good for the fact that you can kiss without stopping throughout the sexual intercourse."
124,125. Alley,"Like walking in the darkness along the alley of roses, you need gently, by trials and errors to learn the partner’s body and listen to your feelings that are not deceiving you. The male partner lies on his back, his arms are slightly pulled to the sides and the head is raised, legs are slightly bent in knees and placed at shoulders width. The woman sits between the legs of the male partner as much as possible close to his penis, her legs are together and bent, she puts them on the man’s chest, arms are straight, put back and driven apart, the support is on palms. For convenience, the female partner throws her head back and makes the movements."
125,126. Italian Chandelier,"The woman reveals completely before her male partner and confides him her excited body and his most confidential secrets. The man lies comfortably on his back and opens his legs on sides. The woman is situated above the upper part of his body with her back to the male partner, leaning on her hands from both sides of the man’s head, and her legs are bent at the knees on his thighs. The female partner is levitating, the male partner holds her waist with his one hand, and with another hand he caresses her breast and her most piquant place, dosing in turn his touches and making her feel ecstasy."
126,127. Acrobat,"Language of body is extremely interesting and instead of various pirouettes, one and very piquant position will be enough. The woman lies on her back, the man is keeping on his hands above her. The female partner throws her left leg on her man’s shoulder and the left one is on his buttock, half-embracing the waist. The male partner seems to penetrate from a side, the woman can caress her breast. A huge advantage of this position is the fact that between a couple there is a visual contact, exciting more and more, as you can play with lips, tongue and just to be watching your partner enjoying."
127,128. Lap Dance,"Every centimeter of her body is in his power, he uses it, but instead he gives more than he receives. The man sits down on his legs, putting them together under his buttocks. The woman is on top of her male partner with her back and throws back her head on his shoulder and spreads her legs on both sides of his knees. This is an excellent and very sensual position, it is perfect for the woman who loves foreplay. The partner’s hands are not only free, they get both the woman’s breast, as well as her most piquant places allowing him to play with her body and to inflame her passion even more. It is from this position that you can pass from foreplay to sex."
128,129. Octopus,"When a couple makes love, their hearts beat in rhythm, their breathing merges into a single stream, their feelings are like being recorded on the tape and stored in memory for years. The woman lies on her back, her one leg is straight and the other is bent. The male partner lies next to her so that his one leg thrown over her bent and the other is stretched next to the woman’s back. The female partner puts her free hand on the man’s knee and lifts a little, her bent leg is between his legs, and the male partner puts his arms behind and props himself up with his arms."
129,130. Ballerina,"If you show ingenuity and ask your male partner to have sex in this position, he will appreciate your efforts, the important thing is to try the pre-stretching not to get hurt. The woman stands next to the wall, leaning forward, arms are bent in elbows she puts on the wall and makes support on them. Legs are straight, one leg stands firmly on the floor, the second one she raises maximum upward. The partner gets behind the lady between her legs, and the one which is raised up, he throws on his arm, which he bends and puts on the female partner’s buttocks, and the second hand on her back."
130,131. Plain,"If you prefer more “smooth”, soft and sensual sex, this position will perfectly match your expectations and help diversify the intimate side of relations. The woman lies on her belly, straightens her arms in front of herself and slightly lifts the upper part of her body, bending her knees. The man lies down on top of her and holds at arm’s length the upper part of his body, between his legs, the feet of female partner are between his legs bent in knees. In this position the couple can kiss during sex, which is also an advantage for many people."
131,132. Female peasant,"If your mistress can not take an interesting position in sex for any reason, that is not a reason for boredom, the man can also be clever and this option is a direct proof for that. The male partner lies against the wall and raises his legs and torso only for his head, neck and shoulders to be on the floor with his legs together and straight. The woman gets with her face to the male partner’s legs so that his head was between her legs, she straddles his penis of the male partner, she bends a little her legs at the knees, she puts one hand on the thigh of her man, the other one on the wall. The male partner puts his hands on the buttocks of his mistress."
132,133. Amphibian,"One can understand how much you are willing to give to each other while having oral sex, as if the partners do not have any barriers, it says a lot. The man sits down with back straight and legs straight and spread apart. The woman leans on her elbows, fully lifting her body up, leaning against the male partner with her breast, her head is between his legs and hands are under the hips of her man, the woman’s legs are straight and spread wide apart. The male partner takes his female partner’s waist and pulls her to him to caress the crotch of his woman with mouth and hold it in this position."
133,134. Goddess,"If you are not just a man, but a real macho man who is confident and knows how to satisfy his female partner orally, ask her to try such a position, she will appreciate your idea and perhaps try the same. The man lies on his back, legs together, knees bent, hands on his stomach, only the mouth is working. The woman ceases to her knees so that the male partner’s head is between her legs and her legs respectively are driven apart, but the feet are together, the body is slightly bent forward, hands of the female partner lie on the man’s hands, and she focuses her support on them."
134,135. Female prisoner,"It is impossible and wrong to force your partner for oral sex, unless this is a role-playing game, in which she plays the role of a prisoner, then this position is useful to you. The woman lies on her back, legs are bent in knees, the male partner sits on top of her so that her head was between his legs. The man is not fully seated on the woman, he presses maximum on his knees, which are located behind the female partner’s shoulders, with his hands he can move his lady’s head and stroke her face. Hands of the woman are on the man’s waist, she is entirely subordinate to him."
135,136. Thirst,"If you love foreplay including during an intercourse, you should like such position, try it, you will not regret. The woman and man lie on their side facing each other, she hugs his neck with one hand, he does the same thing, and the second hand he lays on her back. The man slides one leg between his female partner’s legs, she encircles it with her hips, bending the leg, lying on top of the knee. In this position, the man can caress the neck, back, buttocks of his lady and kiss her lips, continuing to move in her. It will be sensual sex, very gentle and passionate."
136,137. Starfish,"It has been proven long time ago that sex is the best way to maintain your body in good shape, going to the gym is nice, but that can not be compared with sex. The man lies on his back, his head is thrown back. Legs are slightly bent in knees and driven apart. The woman sits under his buttocks, arms are retracted, they are straight and she is pressing on her hands. Legs of the female partner, which she puts on his body, the man takes in his hands over the ankles. For the most part, it is the woman who is moving, lifting her body in his arms."
137,138. Asian Cowgirl,"While having sex it is not necessary to go with the flow and expect something incredible, the more you give the more you get, this simple pattern is very relevant in bed. The man lies on his back with legs bent at the knees and driven apart. The woman sits on top of her male partner with her back to him, she leans back and strengthening her hands she makes support on them, lifting her body over the man, that means that the lady is like a bridge. The male partner strengthens his hands and takes his mistress around the waist with his palms to support her in such an unequivocal position."
138,139. Rainbow,"Bright flashes of tender passion mixed with deep penetration, whining even more pleasure, this position guarantees intimacy with your male partner. The woman lies on her back, bents her knees and presses legs to her breast. The male partner sits on top of the woman’s hips, between her legs bent in a horizontal position, facedown. His arms support his body. If his body height allows, he uses also his knees for support. The female partner can put her hands on the man’s buttocks and stroke his strong, muscular back."
139,140. Doggy Style,"Direction is constant, that is passion, desire and pleasure, and of course the man directs, but in this position even the woman can drive. The female partner stands in doggy-style, bending her elbows and knees spreading them on sides, she holds her head straight. The male partner is behind her, kneeling down, he takes her by her waist, and penetrates not only moving his muscles, but his buttocks, by the beat of his movements. This position is “favorite” one for most people, because of the comfort, possibility to penetrate deep and feel the partner very well. In addition, the man has the opportunity to observe the process that lead some partners to the edge in a matter of minutes."
140,141. She-wolf,"When during sex the woman wants to get on top of the male partner, it can be not but pleasant for him and excites the man. Just trust your beloved one and let her show you what she is capable of. The woman sits up, puts her hands back, a bit pulls on her arms and is supporting on her palms. Legs are bent in knees and driven apart, one is on a foot, the second one lies. The male partner sits facing his beloved, one foot he slips under her lying leg, the second one he puts straight on it. With his hand he is caressing the crotch of his darling, she makes the movements, on the second hand, he makes the support."
141,142. Rabbit Ears,"If the position is not very comfortable, it is impossible to relax completely, and accordingly to get high. This position is very extraordinary, and to learn how comfortable it is, you have to try it yourself. The man stands, bending his legs in knees and drives them as much as possible apart. The woman takes a birch position, so that her head is between his legs, her legs he raises up as much as possible and fixes her back in that position with her hands. The male partner puts his hands on her buttocks, legs of the lady are extended along his body and he penetrates in her from the top."
142,143. Pulse,"If the female partner is tired after the day, offer her a massage, and then gradually go to the intimate part of your plan, in this position even change of the position is not required. The woman lies on her belly with hands pulled ahead. The support is on hands and she lifts the upper part of her body, legs straight and slightly driven apart. The man sits on top so that her legs are between his legs, the male partner puts his hands on his lady’s buttocks and penetrates into her by jerks. The male partner can also lightly caress her back, neck, and do all that his imagination is capable of."
143,144. Stick Figure,"It is not obligatory to take one position and have sex throughout the whole sexual intercourse in this way, the more positions you change, the longer will be your intimacy. The woman lies with her head on a pillow with legs straight out to the sides. The male partner stands between her legs, he leans forward slightly bending his knees and takes his female partner around the waist, he lifts her body for her buttocks to be on the knees of her man, and feet on his waist. The woman hugs calves of her male partner with her hands and only her head lies on the pillow."
144,145. Zombie,"Not all couples can love each other through oral sex as it’s a real art which makes the whole body tremble from the dance of hands, mouth, tongue, lips and delicate feelings of your partner. The man sits, his legs are bent slightly at the knees and driven apart. The woman get with her back to him and fully leans forward for her head to be between the male partner’s feet and hands to be standing on her palms near his knees, and feet to be from the outside of the man’s hips. He puts his hands on the back of is mistress and the couple has original oral sex."
145,146. Emmanuel,"The dream woman is liberated and shameless; she fully opens to her male partner, pointing out his role and position in this game. The man lies on his back, the woman sits on his neck to lean forward slightly and stand on her knees for her crotch to be at the level of his face. The male partner’s arms are on his female partner’s thighs, and with his arms, he can caress her breast, or hold her arms. This position is very delicate, it will be useful for those couples who are not shy with each other and are ready for any experiments, as well as for fans of oral sex."
146,147. Batman,"In this position, which is destined for oral sex, despite the fact that the main character is right the female partner, the man has a possibility to control completely the process. In this position he sets the rhythm and regulates the depth of penetrations exciting the female partner. The woman lies on her back with her legs bent and driven apart. The man kneels for the woman’s breast to be situated between his thighs, he leans on his straight hands and holds the upper part of his body. The mistress puts her hands on the man’s back and lifts her head making possible for her to satisfy her male partner’s penis with oral sex."
147,148. Plaid,"The bodies are as if covered with each other, they are so hot and excited, you do not need any words, the most important thing is to feel pleasant warmth throughout the body and go to the same goal that is an inevitable orgasm. The male partner lies on his side, he holds the upper part of his body on his elbow, his one leg is bent at the knee, the other one is straight. The woman lies on her side with her face to the man, she holds the upper part of her body on her elbow, the legs are bent at the knees, she throws one of them on the partner’s waist. The man puts his hand on the buttocks of his mistress and presses her against his penis, for deeper penetration as much as possible."
148,149. Ball,"With such a ball it is impossible to play football, but that’s not a reason to be upset, because in this position, you will get much more pleasure than pursuing a ball. The man lies on his back, lifts his head up, legs are bent in knees and also pressed against the body. The woman sits on top of her male partner, arms are stretched forward, support is placed on the palms, his feet are between her legs, body is bent forward. The man puts his hands on his female partner waist, if desired, they can kiss during sex, the position looks funny."
149,150. Reverse Cowgirl,"Sex is a perfect excuse to rip the mask and show your real face, to realize the most depraved desires, which have been long hovering in your mind. The man lies on his back, legs are straight, slightly driven apart, the head is raised. The woman sits on top of the male partner back to him, her legs are bent in knees and feet are stretched out along the body of the male partner. With one hand she holds the man’s knee, with the second hand she removes her hair and turns half-turn, opening her breasts to the male partner. The man puts one hand on the woman’s waist and with the second one he fondles her breast."
150,151. Twix,"Warm and hot body, mixed thoughts and distinct actions, you are under the thumb of each other and the world freeze in expectation. The woman lies down with her legs fastened. The man is situated on top with his legs open. This semi-classic position is not less popular. It is very simple but the feelings will be absolutely different. The partners can be kissing passionately, the woman has access to the man’s back, his buttocks which she can fasten slightly and stroke. You are completely relaxed and you just devote to a wave of feelings, you are two integral parts of the entire. This feeling is amazing."
151,152. Honeymoon,"One bright moment and the aim is achieved, but we want so much to prolong this process, to remember every feeling and make it unforgettable. The woman lies down on her belly with face down, putting out hands and opening her legs. The man stands on his knees between her legs and having opened his thighs her legs become bended and pressed to her legs and buttocks. The man exercises movements and with every movement he can penetrate into his female partner, as if he straddles her on himself."
152,153. Bow,"In this position it is extremely important to cooperate, bodies need to move in unison and to complete harmonically each other, filling the bodies with the desired feelings. The partners sit face to face in half-turn. They both open slightly their legs and intertwine them in a special way that the woman’s right leg was on the man’s right shoulder, and his right leg needs to be bended a little and thrown through the woman’s thigh. Left legs of both partners are just spread along the partner’s body that is thrown back a little, and they lean on their arms. The position stirs up imagination, it is impossible to resist."
153,154. Trunk,"Not only penis of the male partner, but his body should be solid as a rock and ready to please his darling, in this position the man is rather a way of self-satisfaction, but start with the preludes. The man takes a stand against the wall, with his head lying on the floor, and the whole body with them are raised up, with the feet together, arms at his sides. The female partner is attached to the penis with her buttocks, legs are slightly driven apart and the man’s head is between them. She puts her hands on her knees, leans forward and makes movements."
154,155. Jockey,"The beauty of this position is that every movement or touch will be felt with double force especially for the female partner. Open yourself for bliss, let all the barriers turn to dust. The woman lies on her stomach, arms are bent in elbows and pulled behind the head, legs are straight. The male partner sits under the buttocks of his lady on his knees so that her legs are between his legs, his hands he puts on the woman’s bud or back of the woman, during sex he can massage her body or her buttocks moving in rhythm, maybe slap, depending on preferences."
155,156. Twins,"You will find your reflection in each other, look into the eyes of your partner to see yourself there, your desires, which are mutually connected. The man and the woman stand on knees in a millimeter from each other, the male partner holds his back straight and hugs the waist of his mistress. The woman hugs the man’s neck with one hand, and with the second one, she takes her foot and in this way, she leans back a little and opens her naked breast to her partner. The man can caress his mistress’ breast without stopping movements of his thighs. This is an amazing tandem and the position will be good for those who love and are loved."
156,157. Pisces,"This position should be taken by the partners who are confident in their abilities, well, everyone can try, especially the one who loves to have good laugh before sex. The woman sits on the man’s neck, the male partner stands still, his feet are shoulder width apart and he slowly lowers his mistress with her head down as if he flips her over his head. As a result, the female partner embraces with her legs the man’s neck and closes her shins crosswise, and with her hands she hugs the male partner’s buttocks. The man puts his hands on the back of his mistress to hold her in this position."
157,158. Train,"Mouth, lips and tongue should be used not only for food and conversations, if your female partner is not very optimistic about oral sex, this position together with your skills is a chance to convince her otherwise. The man lies on his back, legs are together, knees are bent. The woman gets on all fours so that the male partner’s head is between her legs. The female partner’s head is slightly tilted back, arms are straight, and support is on the palms, legs are slightly driven apart, whereby the crotch is just a few centimeters from the male partner’s face. The man’s hands are on the woman’s hips and caress them."
158,159. Angry Pirate,"If your male partner really wants to do oral sex, but you feel tired, offer him this position, and you will find yourself in a completely favorable position. The woman lies on her back, legs are bent in knees, slightly driven apart. The man ceases on all fours over his female partner, making support on his fingers and toes, hands and feet must be straight. In this position the female partner involves not only mouth, but also her hands. Movements are made by the man’s pelvis, this position favors this."
159,160. Glass,"There exist moments when you just can not get enough of each other, you try to feel him all, as a whole, to have sex without stopping kissing and this position will realize your wishes. The man lies on his side with one leg straight, the other one is slightly bent at the knee and stands on the first one. The woman lies on her side with her face to her partner, her one leg is straight, it lies along his legs, the second one is also straight, but raised as high as possible. The male partner puts his hand on the buttock of his mistress to fix her in this position, the woman also takes her legs with her free hand at the knee."
